question_id,asset_class,tier,factor,dimension,construct_id,parent_question_id,relation_to_parent,question,default_gate,gate_stage,default_scored,applicability,evidence_standard,failure_example,status,version_added,version_retired,supersedes
STK-VC02,stock,deep,team_execution,durability,capital_allocation_alignment,COM-TEAM02,strict_refinement,Is management using cash generation in ways that can compound per-share value?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Reinvestment returns, debt reduction, dividends, buybacks, and acquisition record.",Cash is retained or spent without improving per-share intrinsic value.,active,2.0.0,,
STK-SUP01,stock,core,supply_dilution,valuation,stock_dilution,,,Is expected share dilution acceptable over the investment horizon?,NO,,YES,All assessments unless explicitly inapplicable.,"Basic/diluted shares, stock compensation, options, convertibles, issuance, and buybacks.",Revenue or earnings growth does not translate into per-share growth.,active,2.0.0,,
STK-SUP02,stock,core,supply_dilution,legal_claim,senior_claims,,,"Are debt, leases, pensions, preferred stock, and other senior claims manageable?",NO,,YES,All assessments unless explicitly inapplicable.,"Maturity schedule, covenants, rates, liquidity, and off-balance-sheet claims.",Refinancing or senior claims can absorb most equity value.,active,2.0.0,,
STK-SUP04,stock,deep,supply_dilution,durability,insider_economic_alignment,,,Is insider economic ownership aligned with long-term per-share value creation?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Insider ownership, compensation, purchases/sales, pledges, and holding history.",Insiders retain control while bearing little economic downside or selling persistently.,active,2.0.0,,STK-SUP03
STK-VAL01,stock,core,valuation,valuation,stock_normalized_valuation,,,Is valuation reasonable on normalized per-share earnings or cash flow?,NO,,YES,All assessments unless explicitly inapplicable.,"Normalized cycle, taxes, reinvestment, dilution, and category-appropriate multiple.",Valuation uses peak margins or ignores dilution and required reinvestment.,active,2.0.0,,
STK-VAL02,stock,deep,valuation,valuation,stock_margin_of_safety,,,Does a conservative intrinsic-value model provide an adequate margin of safety?,NO,,YES,All assessments unless explicitly inapplicable.,"Bull/base/bear cash flows, discount rate, terminal assumptions, and dilution.",Small assumption changes eliminate expected return.,active,2.0.0,,
STK-VAL03,stock,deep,valuation,valuation,stock_embedded_expectations,,,Are embedded growth and margin expectations achievable without heroic assumptions?,NO,,YES,All assessments unless explicitly inapplicable.,Reverse DCF or comparable expectation analysis.,Current price requires category dominance or margins unsupported by history.,active,2.0.0,,
STK-MEM01,stock,core,memetic_strength,meme_cultural_capital,meme_economic_conversion,COM-MEM04,strict_refinement,"Does brand or cultural salience improve customer demand, talent, pricing power, or financing access?",NO,,YES,All assessments unless explicitly inapplicable.,"Customer, employee, pricing, distribution, and capital-market conversion.",Stock attention does not improve company economics.,active,2.0.0,,
STK-MEM02,stock,deep,memetic_strength,meme_cultural_capital,stock_narrative_reality,,,Is shareholder narrative supported by customer or operating reality?,NO,,YES,All assessments unless explicitly inapplicable.,Comparison of investor attention with product adoption and economics.,The stock meme persists while customer evidence deteriorates.,active,2.0.0,,
STK-MOAT01,stock,core,competitive_moat,durability,stock_roic_moat,,,Is historical or prospective return on invested capital protected by a durable moat?,NO,,YES,All assessments unless explicitly inapplicable.,"Incremental ROIC, competition, switching, pricing, share, and reinvestment runway.",High returns attract competition and rapidly mean-revert.,active,2.0.0,,
STK-MOAT02,stock,deep,competitive_moat,durability,stock_moat_direction,,,Is the primary claimed moat measurably strengthening?,NO,,YES,All assessments unless explicitly inapplicable.,Customer behavior and competitor outcomes over time.,Management labels ordinary product features a moat.,active,2.0.0,,
STK-SEC01,stock,core,security_custody,security,stock_accounting_control_floor,,,Are accounting and financial-reporting controls adequate?,YES,integrity,NO,All assessments unless explicitly inapplicable.,"Auditor reports, material weaknesses, restatements, non-GAAP reconciliation, and disclosure history.",A control weakness or aggressive accounting can materially misstate equity value.,active,2.0.0,,
STK-SEC03,stock,deep,security_custody,security,stock_counterparty_resilience,,,Are critical counterparty dependencies acceptable?,NO,,YES,All assessments unless explicitly inapplicable.,"Supplier, customer, cloud, bank, clearing, manufacturing, and distribution dependencies.",Failure of one counterparty can stop operations or strand material cash/assets.,active,2.0.0,,
STK-SEC04,stock,core,security_custody,security,stock_operational_continuity,,,Can operations continue through the predeclared material disruption?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Business continuity, redundancy, insurance, incident history, and a predeclared disruption.",One plausible disruption stops material operations beyond the tolerance.,active,2.0.0,,STK-SEC02
STK-SEC05,stock,deep,security_custody,security,stock_cyber_resilience,,,Is cyber exposure below the predeclared permanent-impairment threshold?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Material incidents, security controls, data sensitivity, insurance, recovery, and quantified scenario.",A plausible cyber event exceeds the predeclared impairment threshold.,active,2.0.0,,STK-SEC02
STK-SEC06,stock,core,security_custody,security,stock_accounting_red_flags,,,Is the company free of predeclared accounting red flags?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Receivables, cash conversion, auditor changes, restatements, related parties, cash/debt anomalies, and predeclared tests.",One or more predeclared red flags remains unresolved.,active,2.0.0,,
STK-GOV01,stock,core,governance_control,control,holder_control_rights,COM-GOV01,strict_refinement,Does governance provide effective accountability and minority-shareholder protection?,NO,,YES,All assessments unless explicitly inapplicable.,"Board independence, voting rights, related parties, compensation, and takeover defenses.",A controlled board or dual-class structure enables persistent value extraction.,active,2.0.0,,
STK-TEAM04,stock,core,team_execution,durability,stock_operating_commitments,,,Has management met its important operating commitments?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,Dated guidance and operating commitments compared with outcomes.,Management repeatedly misses or redefines material commitments.,active,2.0.0,,STK-TEAM01
STK-TEAM02,stock,deep,team_execution,durability,management_candor,,,Does management communicate candidly during setbacks?,NO,,YES,All assessments unless explicitly inapplicable.,"Filings and calls before, during, and after adverse events.",Risks are disclosed only after they become unavoidable.,active,2.0.0,,
STK-TEAM03,stock,deep,team_execution,durability,executive_incentives,,,Are executive incentives tied to durable per-share value creation?,NO,,YES,All assessments unless explicitly inapplicable.,"Proxy metrics, vesting, dilution, ownership, and clawbacks.",Compensation rewards adjusted revenue or share price without per-share economics.,active,2.0.0,,
STK-TEAM05,stock,deep,team_execution,durability,stock_key_person_resilience,,,Is the thesis robust to the loss of its key person?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Succession, delegated authority, bench strength, customer concentration around the person, and transition history.","Loss of one person defeats execution, relationships, or capital allocation.",active,2.0.0,,
STK-REG01,stock,core,regulatory_legal,durability,regulatory_business_survival,COM-REG01,strict_refinement,Can the business model survive plausible regulation and litigation?,NO,,YES,All assessments unless explicitly inapplicable.,"Licenses, litigation, policy exposure, enforcement history, and adaptation options.",A plausible rule or judgment defeats the core profit pool.,active,2.0.0,,
STK-LIQ01,stock,core,liquidity_market_structure,market_structure,stock_market_depth,,,Is executable free-float depth at the predeclared reference size above the predeclared market-liquidity threshold?,NO,,YES,Stock assessments with a declared reference size.,"Float, average value traded, spread, ownership concentration, and stressed slippage.",Headline market capitalization overstates realizable exit capacity.,active,2.0.0,,
STK-LIQ02,stock,core,liquidity_market_structure,market_structure,stock_price_discovery,,,Is price discovery sufficiently free from temporary squeeze or forced-flow distortion?,NO,,YES,All assessments unless explicitly inapplicable.,"Short interest, borrow cost, options positioning, index flows, and insider lockups.",Near-term price depends primarily on a squeeze or mechanical buyer.,active,2.0.0,,
STK-CAT01,stock,deep,catalysts,market_structure,stock_catalyst_value,,,Does the identified catalyst improve per-share economics or reveal value?,NO,,YES,All assessments unless explicitly inapplicable.,"Mechanism for launch, pricing, margin, divestiture, regulation, or capital return.",The event creates attention without changing cash flow or claims.,active,2.0.0,,
STK-POS01,stock,deep,positioning_reflexivity,market_structure,entry_positioning,COM-POS01,strict_refinement,Is current ownership and sentiment compatible with favorable entry?,NO,,YES,All assessments unless explicitly inapplicable.,"Institutional ownership, flows, revisions, short interest, options, and valuation dispersion.",Consensus already assumes the full bull case.,active,2.0.0,,
STK-FM01,stock,core,failure_modes,security,stock_financing_survival,,,Can the equity survive a realistic revenue or margin shock without distress financing?,NO,,YES,All assessments unless explicitly inapplicable.,"Stress-case liquidity, covenants, maturities, fixed costs, and dilution.",A normal cyclical shock requires emergency capital.,active,2.0.0,,
STK-FM02,stock,deep,failure_modes,durability,stock_disruption_adaptation,,,Can the company adapt before technological or competitive disruption destroys its profit pool?,NO,,YES,All assessments unless explicitly inapplicable.,"Innovation cadence, cannibalization, customer switching, and transition economics.",Management protects the legacy model until entrants capture the market.,active,2.0.0,,
STK-PORT01,stock,deep,portfolio_fit,portfolio_fit,stock_factor_diversification,,,Does the stock add differentiated exposure after look-through factor analysis?,NO,,YES,Personalized assessments with current portfolio exposures.,"Revenue geography, duration, rates, commodity, market beta, and existing-holding overlap.","Different ticker, same underlying factor concentration.",active,2.0.0,,
STK-REG02,stock,core,regulatory_legal,legal_claim,stock_lawful_access,,,"Is lawful acquisition, custody, ownership, and disposition of this exact security available to the investor in the relevant jurisdiction?",YES,eligibility,NO,All stock assessments.,"Current broker, exchange, sanctions, investor-eligibility, jurisdiction, and custody rules for the exact share class.","A restriction, sanction, investor-status rule, or custody limitation prevents lawful ownership or disposition.",active,2.0.0,,
