question_id,asset_class,tier,factor,dimension,question,default_gate,default_scored,applicability,evidence_standard,failure_example,status,version_added,supersedes
STK-VAL01,stock,core,valuation,entry,Is valuation reasonable on normalized per-share earnings or cash flow?,NO,YES,All assessments unless explicitly inapplicable.,"Normalized cycle, taxes, reinvestment, dilution, and category-appropriate multiple.",Valuation uses peak margins or ignores dilution and required reinvestment.,active,1.0.0,
STK-VAL02,stock,deep,valuation,entry,Does a conservative intrinsic-value model provide an adequate margin of safety?,NO,YES,All assessments unless explicitly inapplicable.,"Bull/base/bear cash flows, discount rate, terminal assumptions, and dilution.",Small assumption changes eliminate expected return.,active,1.0.0,
STK-VAL03,stock,deep,valuation,entry,Are embedded growth and margin expectations achievable without heroic assumptions?,NO,YES,All assessments unless explicitly inapplicable.,Reverse DCF or comparable expectation analysis.,Current price requires category dominance or margins unsupported by history.,active,1.0.0,
STK-MEM01,stock,deep,memetic_strength,meme_cultural_capital,"Does brand or cultural salience improve customer demand, talent, pricing power, or financing access?",NO,YES,All assessments unless explicitly inapplicable.,"Customer, employee, pricing, distribution, and capital-market conversion.",Stock attention does not improve company economics.,active,1.0.0,
STK-MEM02,stock,deep,memetic_strength,meme_cultural_capital,Is shareholder narrative supported by customer or operating reality?,NO,YES,All assessments unless explicitly inapplicable.,Comparison of investor attention with product adoption and economics.,The stock meme persists while customer evidence deteriorates.,active,1.0.0,
STK-MOAT01,stock,core,competitive_moat,durability,Is historical or prospective return on invested capital protected by a durable moat?,NO,YES,All assessments unless explicitly inapplicable.,"Incremental ROIC, competition, switching, pricing, share, and reinvestment runway.",High returns attract competition and rapidly mean-revert.,active,1.0.0,
STK-MOAT02,stock,deep,competitive_moat,durability,"Are switching costs, network effects, data, distribution, cost, or regulation measurably strengthening?",NO,YES,All assessments unless explicitly inapplicable.,Customer behavior and competitor outcomes over time.,Management labels ordinary product features a moat.,active,1.0.0,
STK-SEC01,stock,core,security_custody,security_control,Are accounting and financial-reporting controls adequate?,YES,YES,All assessments unless explicitly inapplicable.,"Auditor reports, material weaknesses, restatements, non-GAAP reconciliation, and disclosure history.",A control weakness or aggressive accounting can materially misstate equity value.,active,1.0.0,
STK-SEC02,stock,core,security_custody,security_control,Is operational and cyber resilience adequate?,YES,YES,All assessments unless explicitly inapplicable.,"Material incidents, business continuity, security controls, insurance, and recovery record.",One plausible outage or cyber event can materially impair operations or trust.,active,1.0.0,
STK-SEC03,stock,deep,security_custody,security_control,Are critical counterparty dependencies acceptable?,YES,YES,All assessments unless explicitly inapplicable.,"Supplier, customer, cloud, bank, clearing, manufacturing, and distribution dependencies.",Failure of one counterparty can stop operations or strand material cash/assets.,active,1.0.0,
STK-GOV01,stock,core,governance_control,security_control,Does governance provide effective accountability and minority-shareholder protection?,NO,YES,All assessments unless explicitly inapplicable.,"Board independence, voting rights, related parties, compensation, and takeover defenses.",A controlled board or dual-class structure enables persistent value extraction.,active,1.0.0,
STK-TEAM01,stock,core,team_execution,durability,Has management met important operating and capital-allocation commitments?,NO,YES,All assessments unless explicitly inapplicable.,"Guidance history, strategic milestones, disclosure quality, and realized returns.",Targets are repeatedly reset while incentives remain rewarded.,active,1.0.0,
STK-TEAM02,stock,deep,team_execution,durability,Does management communicate candidly during setbacks?,NO,YES,All assessments unless explicitly inapplicable.,"Filings and calls before, during, and after adverse events.",Risks are disclosed only after they become unavoidable.,active,1.0.0,
STK-TEAM03,stock,deep,team_execution,durability,Are executive incentives tied to durable per-share value creation?,NO,YES,All assessments unless explicitly inapplicable.,"Proxy metrics, vesting, dilution, ownership, and clawbacks.",Compensation rewards adjusted revenue or share price without per-share economics.,active,1.0.0,
STK-REG01,stock,core,regulatory_legal,security_control,Can the business model survive plausible regulation and litigation?,NO,YES,All assessments unless explicitly inapplicable.,"Licenses, litigation, policy exposure, enforcement history, and adaptation options.",A plausible rule or judgment defeats the core profit pool.,active,1.0.0,
STK-LIQ01,stock,core,liquidity_market_structure,liquidity,Is free-float liquidity adequate for the proposed position under stress?,YES,YES,All assessments unless explicitly inapplicable.,"Float, average value traded, spread, ownership concentration, and stressed slippage.",Headline market capitalization overstates realizable exit capacity.,active,1.0.0,
STK-LIQ02,stock,deep,liquidity_market_structure,liquidity,Is price discovery sufficiently free from temporary squeeze or forced-flow distortion?,NO,YES,All assessments unless explicitly inapplicable.,"Short interest, borrow cost, options positioning, index flows, and insider lockups.",Near-term price depends primarily on a squeeze or mechanical buyer.,active,1.0.0,
STK-CAT01,stock,deep,catalysts,entry,Does the identified catalyst improve per-share economics or reveal value?,NO,YES,All assessments unless explicitly inapplicable.,"Mechanism for launch, pricing, margin, divestiture, regulation, or capital return.",The event creates attention without changing cash flow or claims.,active,1.0.0,
STK-POS01,stock,deep,positioning_reflexivity,entry,Is current ownership and sentiment compatible with favorable entry?,NO,YES,All assessments unless explicitly inapplicable.,"Institutional ownership, flows, revisions, short interest, options, and valuation dispersion.",Consensus already assumes the full bull case.,active,1.0.0,
STK-FM01,stock,core,failure_modes,security_control,Can the equity survive a realistic revenue or margin shock without distress financing?,NO,YES,All assessments unless explicitly inapplicable.,"Stress-case liquidity, covenants, maturities, fixed costs, and dilution.",A normal cyclical shock requires emergency capital.,active,1.0.0,
STK-FM02,stock,deep,failure_modes,security_control,Can the company adapt before technological or competitive disruption destroys its profit pool?,NO,YES,All assessments unless explicitly inapplicable.,"Innovation cadence, cannibalization, customer switching, and transition economics.",Management protects the legacy model until entrants capture the market.,active,1.0.0,
STK-PORT01,stock,deep,portfolio_fit,portfolio_fit,Does the stock add differentiated exposure after look-through factor analysis?,NO,YES,All assessments unless explicitly inapplicable.,"Revenue geography, duration, rates, commodity, market beta, and existing-holding overlap.","Different ticker, same underlying factor concentration.",active,1.0.0,
