question_id,asset_class,tier,factor,dimension,question,default_gate,default_scored,applicability,evidence_standard,failure_example,status,version_added,supersedes
CRY-VAL03,crypto,deep,valuation,entry,Does the base case offer attractive return after dilution and a category-appropriate terminal multiple?,NO,YES,All assessments unless explicitly inapplicable.,Bull/base/bear model with net issuance and explicit terminal assumptions.,Upside assumes both exceptional growth and multiple expansion.,active,1.0.0,
CRY-MEM01,crypto,deep,memetic_strength,meme_cultural_capital,Is the token narrative resilient beyond price appreciation and airdrop incentives?,NO,YES,All assessments unless explicitly inapplicable.,Community behavior during price declines and after incentives normalize.,The narrative’s only proof is that price is rising.,active,1.0.0,
CRY-MOAT01,crypto,core,competitive_moat,durability,Can the network or protocol retain advantage despite open-source forkability?,NO,YES,All assessments unless explicitly inapplicable.,"Liquidity, integrations, security, state, distribution, brand, developer, or regulatory moat.",A fork can reproduce users and economics with modest incentives.,active,1.0.0,
CRY-SEC01,crypto,core,security_custody,security_control,Has the relevant code and dependency surface received credible security review?,YES,YES,All assessments unless explicitly inapplicable.,"Audits plus scope, date, remediation, bug bounty, and dependency inventory.","Audits are stale, partial, unactioned, or omit bridges/oracles/admin paths.",active,1.0.0,
CRY-SEC02,crypto,core,security_custody,security_control,Are contract and protocol upgrade powers acceptable?,YES,YES,All assessments unless explicitly inapplicable.,"Verified proxy/admin structure, signers, thresholds, timelocks, and upgrade history.",A small group can replace holder-critical logic without adequate delay or recourse.,active,1.0.0,
CRY-SEC05,crypto,core,security_custody,security_control,Are pause and freeze powers acceptable?,YES,YES,All assessments unless explicitly inapplicable.,"Verified pause/freeze scope, signers, thresholds, timelocks, and incident history.",A small group can indefinitely freeze holder assets without adequate recourse.,active,1.0.0,
CRY-SEC06,crypto,core,security_custody,security_control,Are token minting powers acceptably constrained?,YES,YES,Tokens with mutable or governed supply; otherwise mark N/A.,"Verified mint authority, caps, governance thresholds, timelocks, and history.",An actor can create material unmodeled supply.,active,1.0.0,
CRY-SEC03,crypto,deep,security_custody,security_control,"Has the system responded credibly to prior exploits, outages, or defaults?",NO,YES,All assessments unless explicitly inapplicable.,"Incident timeline, disclosure, remediation, restitution, and recurrence.","Losses are concealed, socialized unfairly, or repeated.",active,1.0.0,
CRY-SEC04,crypto,core,security_custody,security_control,Is the intended custody and transaction route operationally safe for this position?,YES,NO,All assessments unless explicitly inapplicable.,"Hardware-wallet support, recovery, venue, bridge, approval, and test-transaction plan.","The position requires an unverified bridge, unsupported wallet, or concentrated custodian.",active,1.0.0,
CRY-GOV01,crypto,core,governance_control,security_control,Is transaction finality sufficiently resistant to unilateral control?,NO,YES,All assessments unless explicitly inapplicable.,"Validator, proposer, client, and finality concentration plus failure thresholds.","One operator or coordinated minority can halt, censor, or finalize transactions.",active,1.0.0,
CRY-GOV03,crypto,deep,governance_control,security_control,Is transaction ordering sufficiently resistant to unilateral extraction or censorship?,NO,YES,Networks or rollups where ordering is relevant.,"Sequencer/proposer structure, MEV policy, censorship escape hatch, and decentralization roadmap.",One sequencer can indefinitely censor or systematically extract from users.,active,1.0.0,
CRY-GOV02,crypto,deep,governance_control,security_control,"Is protocol governance resistant to capture by insiders, delegates, or borrowed voting power?",NO,YES,All assessments unless explicitly inapplicable.,"Voting distribution, quorum, delegation, timelocks, and historical participation.",A coordinated minority can pass adverse changes before holders can exit.,active,1.0.0,
CRY-TEAM01,crypto,deep,team_execution,durability,Is treasury and token issuance behavior aligned with long-term holders?,NO,YES,All assessments unless explicitly inapplicable.,"Treasury sales, grants, market-maker terms, compensation, and related parties.",Opaque treasury transfers or insider liquidity impose recurring sell pressure.,active,1.0.0,
CRY-REG01,crypto,core,regulatory_legal,security_control,Is continued lawful access to the token reasonably durable in the relevant jurisdiction?,NO,YES,All assessments unless explicitly inapplicable.,"Current classification, sanctions, exchange/custody access, reporting, and enforcement posture.","A likely delisting, sanction, or licensing barrier defeats access or utility.",active,1.0.0,
CRY-LIQ01,crypto,core,liquidity_market_structure,liquidity,Is genuine spot depth adequate at the proposed size across independent venues?,YES,YES,All assessments unless explicitly inapplicable.,"Order-book or pool slippage at size, spread, venue concentration, and stressed periods.",Reported volume is large but executable depth is shallow or concentrated.,active,1.0.0,
CRY-LIQ02,crypto,deep,liquidity_market_structure,liquidity,Is market activity sufficiently free of wash trading and reflexive leverage?,NO,YES,All assessments unless explicitly inapplicable.,"Venue quality, organic volume methodology, funding, open interest, liquidations, and borrow.",Leverage or fabricated volume dominates price discovery.,active,1.0.0,
CRY-CAT01,crypto,deep,catalysts,entry,Does the catalyst transmit value to this token rather than only to the protocol narrative?,NO,YES,All assessments unless explicitly inapplicable.,"Mechanism from launch, integration, regulation, or fee change to token demand/capture.",A successful product release creates no incremental token economics.,active,1.0.0,
CRY-POS01,crypto,deep,positioning_reflexivity,entry,Is current leveraged positioning compatible with favorable entry?,NO,YES,All assessments unless explicitly inapplicable.,"Funding, open interest, liquidation levels, basis, and recent acceleration with historical context.",Crowded leverage makes liquidation-driven downside dominate near-term upside.,active,1.0.0,
CRY-FM01,crypto,core,failure_modes,security_control,Can the thesis survive its primary category-specific failure without permanent impairment?,NO,YES,All assessments unless explicitly inapplicable.,"Scenario for exploit, depeg, validator capture, fee collapse, fork, delisting, or unlock as applicable.","One plausible event destroys utility, access, or token value.",active,1.0.0,
CRY-PORT01,crypto,deep,portfolio_fit,portfolio_fit,"Does the expected contribution justify custody, tax, bridge, monitoring, and smart-contract burden?",NO,YES,All assessments unless explicitly inapplicable.,Incremental expected return versus simpler holdings and operational workload.,The position duplicates beta while adding substantial operational tail risk.,active,1.0.0,
