question_id,asset_class,tier,factor,dimension,question,default_gate,default_scored,applicability,evidence_standard,failure_example,status,version_added,supersedes
COM-VAL02,common,core,valuation,entry,Is base-case expected return attractive relative to the next-best use of capital?,NO,YES,All assessments unless explicitly inapplicable.,"Comparable expected return, downside, duration, and liquidity assumptions.",A safer or simpler alternative offers similar upside with less permanent-loss risk.,active,1.0.0,
COM-MEM01,common,core,memetic_strength,meme_cultural_capital,Can the asset’s identity and reason to care be transmitted in one memorable sentence or symbol?,NO,YES,All assessments unless explicitly inapplicable.,A stable narrative recognizable beyond paid marketing.,The pitch requires jargon or changes materially with every market cycle.,active,1.0.0,
COM-MEM02,common,deep,memetic_strength,meme_cultural_capital,Is cultural propagation meaningfully organic?,NO,YES,All assessments unless explicitly inapplicable.,"Voluntary community creation, advocacy, search, social, or cultural evidence.","Attention is dominated by paid promotion, insiders, or one influencer.",active,1.0.0,
COM-MEM03,common,deep,memetic_strength,meme_cultural_capital,Has the narrative retained identity through adverse conditions?,NO,YES,All assessments unless explicitly inapplicable.,"Behavior through drawdowns, scandals, boredom, or leadership changes.",Community and narrative disappear when price stops rising.,active,1.0.0,
COM-MEM04,common,deep,memetic_strength,meme_cultural_capital,Does cultural attention convert into durable economic advantage?,NO,YES,All assessments unless explicitly inapplicable.,"Holders, customers, talent, liquidity, pricing power, financing, integrations, or political support.",Attention produces impressions but no durable economic conversion.,active,1.0.0,
COM-MOAT01,common,core,competitive_moat,durability,Is there a defensible advantage that credible competitors cannot quickly copy?,NO,YES,All assessments unless explicitly inapplicable.,"Switching costs, network effects, cost, data, brand, regulation, distribution, or scale evidence.",A credible competitor can reproduce the offering without losing economics.,active,1.0.0,
COM-SEC01,common,core,security_custody,security_control,Has current diligence cleared known routes to permanent impairment?,YES,NO,All assessments unless explicitly inapplicable.,"Security, fraud, solvency, title, custody, counterparty, and operational review appropriate to the asset.","An unresolved exploit, title defect, default, fraud, or custody failure could permanently impair holders.",active,1.0.0,
COM-GOV01,common,core,governance_control,security_control,Are holder rights sufficiently protected from unilateral adverse control?,NO,YES,All assessments unless explicitly inapplicable.,"Control rights, voting, admin powers, board or validator structure, and minority protections.","One actor can dilute, freeze, censor, confiscate, or redirect value without effective recourse.",active,1.0.0,
COM-TEAM01,common,core,team_execution,durability,Does the responsible team or steward have a demonstrated execution record?,NO,YES,All assessments unless explicitly inapplicable.,"Delivered products, operations, disclosures, and conduct under stress.",The thesis relies primarily on promises from an untested or repeatedly unreliable team.,active,1.0.0,
COM-TEAM02,common,deep,team_execution,durability,Is capital allocation aligned with long-term instrument holders?,NO,YES,All assessments unless explicitly inapplicable.,"Issuance, buybacks, acquisitions, treasury use, compensation, and related-party transactions.",Management or insiders extract value while outside holders absorb dilution or risk.,active,1.0.0,
COM-REG01,common,core,regulatory_legal,security_control,Can the core thesis survive plausible legal and regulatory outcomes?,NO,YES,All assessments unless explicitly inapplicable.,"Jurisdiction-specific classification, licensing, sanctions, enforcement, and access analysis.",A plausible rule or enforcement action defeats primary utility or lawful ownership/access.,active,1.0.0,
COM-REG02,common,deep,regulatory_legal,security_control,Is the after-tax return still attractive under the relevant tax treatment?,NO,YES,All assessments unless explicitly inapplicable.,"Current jurisdiction-specific tax classification, reporting, basis, income, and disposition treatment.",Taxes or reporting costs eliminate the modeled advantage.,active,1.0.0,
COM-REG03,common,deep,regulatory_legal,security_control,Can the thesis survive its material geopolitical dependencies?,NO,YES,All assessments unless explicitly inapplicable.,"Jurisdiction, sanctions, capital controls, supply chain, and sovereign dependency map.","One plausible geopolitical disruption defeats access, operations, or value capture.",active,1.0.0,
COM-LIQ01,common,core,liquidity_market_structure,liquidity,Can the proposed position be exited within the required time under stress?,YES,YES,All assessments unless explicitly inapplicable.,"Real depth, spread, settlement time, venue/counterparty concentration, and stressed-volume evidence.",The position cannot be liquidated within the required time when the thesis fails.,active,1.0.0,
COM-LIQ02,common,core,liquidity_market_structure,liquidity,Can the proposed position be exited within its maximum-loss/slippage boundary under stress?,YES,YES,All assessments unless explicitly inapplicable.,"Stressed depth and slippage at the proposed size, including settlement and fees.",Market impact or venue failure pushes realized loss beyond the precommitted boundary.,active,1.0.0,
COM-CAT01,common,deep,catalysts,entry,Is there a credible time-bounded path for the thesis to become recognized?,NO,YES,All assessments unless explicitly inapplicable.,"Dated catalyst, dependency chain, probability, and transmission to instrument value.",The thesis has no plausible recognition mechanism within the investment horizon.,active,1.0.0,
COM-CAT02,common,deep,catalysts,entry,Is the identified catalyst not already substantially reflected in price?,NO,YES,All assessments unless explicitly inapplicable.,"Positioning, expectations, comparable reactions, and scenario evidence.",The market already prices the catalyst’s successful outcome.,active,1.0.0,
COM-POS01,common,deep,positioning_reflexivity,entry,Is current positioning compatible with favorable asymmetric entry?,NO,YES,All assessments unless explicitly inapplicable.,"Price path, flows, leverage, ownership, cost basis, short interest, or category equivalents.",The trade requires continued forced buying after crowded positioning.,active,1.0.0,
COM-FM01,common,core,failure_modes,security_control,Can the investment thesis survive its strongest credible bear case without permanent impairment?,YES,NO,All assessments unless explicitly inapplicable.,"A steelmanned adverse mechanism, stressed economics, and recovery or impairment path.",One plausible adverse case permanently destroys the instrument thesis.,active,1.0.0,
COM-FM02,common,core,failure_modes,security_control,Are thesis falsifiers observable before unacceptable permanent loss?,YES,NO,All assessments unless explicitly inapplicable.,"Measurable invalidators, monitoring source, review date, and action rule.",The thesis can always be rationalized after contrary evidence.,active,1.0.0,
COM-PORT01,common,core,portfolio_fit,portfolio_fit,Does the asset have a defined role that differs from existing exposures?,NO,YES,All assessments unless explicitly inapplicable.,"Holdings, liabilities, factor overlap, and intended role.",The asset duplicates an existing risk without improving expected portfolio outcomes.,active,1.0.0,
COM-PORT02,common,core,portfolio_fit,portfolio_fit,Is the proposed maximum loss compatible with protected capital and obligations?,YES,NO,All assessments unless explicitly inapplicable.,"Current holdings, cash runway, reserves, liabilities, taxes, and maximum-loss policy.","Household runway, taxes, business funds, or committed obligations would bear the loss.",active,1.0.0,
COM-EVID01,common,core,evidence_quality,evidence_quality,Is evidence coverage sufficient for the requested action threshold?,YES,NO,All assessments unless explicitly inapplicable.,Coverage report across every applicable active question.,A recommendation is made while decisive questions remain unknown.,active,1.0.0,
COM-EVID02,common,deep,evidence_quality,evidence_quality,Are material evidence contradictions explicitly reconciled?,NO,YES,All assessments unless explicitly inapplicable.,"Conflicting sources, methodology differences, and case-specific lived evidence.",The conclusion silently selects the favorable source.,active,1.0.0,
