question_id,asset_class,tier,factor,dimension,construct_id,parent_question_id,relation_to_parent,question,default_gate,gate_stage,default_scored,applicability,evidence_standard,failure_example,status,version_added,version_retired,supersedes
COM-VC03,common,core,instrument_value_capture,value_capture,unencumbered_holder_benefit,,,Does an ordinary holder receive the modeled benefit without an unstated additional exposure?,NO,,YES,All assessments unless explicitly inapplicable.,"Exact holder requirements, lockups, wrappers, leverage, or operating obligations.","The modeled return belongs only to a locked wrapper, liquidity provider, lender, or different security.",active,2.0.0,,
COM-SUP01,common,core,supply_dilution,control,claims_transparency,,,Are all material current and contingent claims on value disclosed in primary sources?,NO,,YES,All assessments unless explicitly inapplicable.,"Primary filings, contracts, or on-chain records disclose current and contingent claims.","A material claim, dilution route, or senior interest remains undisclosed or unreconciled.",active,2.0.0,,
COM-VAL01,common,core,valuation,valuation,base_case_price_support,,,Is the current price supportable under explicit base-case assumptions?,NO,,YES,All assessments unless explicitly inapplicable.,Category-appropriate valuation model with dated inputs.,"The base case requires unstated growth, margins, adoption, or terminal value.",active,2.0.0,,
COM-VAL02,common,core,valuation,portfolio_fit,opportunity_cost,,,Is base-case expected return attractive relative to the next-best use of capital?,NO,,YES,Personalized assessments with a defined next-best use of capital.,"Comparable expected return, downside, duration, and liquidity assumptions.",A safer or simpler alternative offers similar upside with less permanent-loss risk.,active,2.0.0,,
COM-VAL03,common,deep,valuation,valuation,edge_mechanism,,,"Does the thesis name a specific, checkable mechanism by which the current price underweights the evidence?",NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"A present structural mechanism such as forced selling, index exclusion, disclosure lag, complexity, illiquidity, or narrative shock.",The only stated edge is disagreement with consensus.,active,2.0.0,,
COM-MEM01,common,core,memetic_strength,meme_cultural_capital,meme_legibility,,,Can the asset’s identity and reason to care be transmitted in one memorable sentence or symbol?,NO,,YES,All assessments unless explicitly inapplicable.,A stable narrative recognizable beyond paid marketing.,The pitch requires jargon or changes materially with every market cycle.,active,2.0.0,,
COM-MEM02,common,core,memetic_strength,meme_cultural_capital,meme_self_sustaining,,,Does the narrative continue to propagate when paid and insider promotion stops?,NO,,YES,All assessments unless explicitly inapplicable.,"Attention, community output, and search or social baseline during periods without promotional spend or insider posting.",Attention returns to baseline within one quarter after promotion stops.,active,2.0.0,,
COM-MEM03,common,core,memetic_strength,meme_cultural_capital,meme_adversity_resilience,,,Has the narrative retained identity through adverse conditions?,NO,,YES,All assessments unless explicitly inapplicable.,"Behavior through drawdowns, scandals, boredom, or leadership changes.",Community and narrative disappear when price stops rising.,active,2.0.0,,
COM-MEM04,common,core,memetic_strength,meme_cultural_capital,meme_economic_conversion,,,Does cultural attention convert into durable economic advantage?,NO,,YES,All assessments unless explicitly inapplicable.,"Holders, customers, talent, liquidity, pricing power, financing, integrations, or political support.",Attention produces impressions but no durable economic conversion.,active,2.0.0,,
COM-MOAT01,common,core,competitive_moat,durability,defensible_advantage,,,Is there a defensible advantage that credible competitors cannot quickly copy?,NO,,YES,All assessments unless explicitly inapplicable.,"Switching costs, network effects, cost, data, brand, regulation, distribution, or scale evidence.",A credible competitor can reproduce the offering without losing economics.,active,2.0.0,,
COM-GOV01,common,core,governance_control,control,holder_control_rights,,,Are holder rights sufficiently protected from unilateral adverse control?,NO,,YES,All assessments unless explicitly inapplicable.,"Control rights, voting, admin powers, board or validator structure, and minority protections.","One actor can dilute, freeze, censor, confiscate, or redirect value without effective recourse.",active,2.0.0,,
COM-TEAM01,common,core,team_execution,durability,execution_record,,,Does the responsible team or steward have a demonstrated execution record?,NO,,YES,All assessments unless explicitly inapplicable.,"Delivered products, operations, disclosures, and conduct under stress.",The thesis relies primarily on promises from an untested or repeatedly unreliable team.,active,2.0.0,,
COM-TEAM02,common,deep,team_execution,durability,capital_allocation_alignment,,,Is capital allocation aligned with long-term instrument holders?,NO,,YES,All assessments unless explicitly inapplicable.,"Issuance, buybacks, acquisitions, treasury use, compensation, and related-party transactions.",Management or insiders extract value while outside holders absorb dilution or risk.,active,2.0.0,,
COM-REG01,common,core,regulatory_legal,durability,regulatory_business_survival,,,Can the core thesis survive plausible legal and regulatory outcomes?,NO,,YES,All assessments unless explicitly inapplicable.,"Jurisdiction-specific classification, licensing, sanctions, enforcement, and access analysis.",A plausible rule or enforcement action defeats primary utility or lawful ownership/access.,active,2.0.0,,
COM-REG02,common,deep,regulatory_legal,portfolio_fit,after_tax_return,,,Is the after-tax return still attractive under the relevant tax treatment?,NO,,YES,Personalized assessments in a specified tax jurisdiction.,"Current jurisdiction-specific tax classification, reporting, basis, income, and disposition treatment.",Taxes or reporting costs eliminate the modeled advantage.,active,2.0.0,,
COM-REG04,common,deep,regulatory_legal,durability,geopolitical_operating_survival,,,Can the underlying operations survive the predeclared material geopolitical disruption?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,Jurisdiction and supply-chain map plus a predeclared disruption scenario.,The scenario prevents the underlying system from operating through the horizon.,active,2.0.0,,COM-REG03
COM-REG05,common,deep,regulatory_legal,legal_claim,geopolitical_holder_access,,,Can the holder retain lawful access and enforceable rights through the predeclared geopolitical disruption?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Jurisdiction, sanctions, capital-control, title, custody, and enforcement analysis.","The scenario strands access, title, custody, or enforceability.",active,2.0.0,,COM-REG03
COM-LIQ01,common,core,liquidity_market_structure,implementation,position_exit_time,,,Can the proposed position be exited within the required time under stress?,YES,implementation,NO,Action assessments with a proposed position and required exit time.,"Real depth, spread, settlement time, venue/counterparty concentration, and stressed-volume evidence.",The position cannot be liquidated within the required time when the thesis fails.,active,2.0.0,,
COM-LIQ02,common,core,liquidity_market_structure,implementation,position_exit_loss,,,Can the proposed position be exited within its maximum-loss/slippage boundary under stress?,YES,implementation,NO,Action assessments with proposed size and maximum slippage/loss.,"Stressed depth and slippage at the proposed size, including settlement and fees.",Market impact or venue failure pushes realized loss beyond the precommitted boundary.,active,2.0.0,,
COM-CAT01,common,deep,catalysts,market_structure,recognition_path,,,Is there a credible time-bounded path for the thesis to become recognized?,NO,,YES,All assessments unless explicitly inapplicable.,"Dated catalyst, dependency chain, probability, and transmission to instrument value.",The thesis has no plausible recognition mechanism within the investment horizon.,active,2.0.0,,
COM-CAT03,common,deep,catalysts,market_structure,catalyst_not_priced,,,Does the current price leave material upside if the catalyst succeeds?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,Scenario value conditional on catalyst success compared with current price and predeclared upside threshold.,Catalyst success produces less upside than the predeclared threshold.,active,2.0.0,,COM-CAT02
COM-POS01,common,deep,positioning_reflexivity,market_structure,entry_positioning,,,Is current positioning compatible with favorable asymmetric entry?,NO,,YES,All assessments unless explicitly inapplicable.,"Price path, flows, leverage, ownership, cost basis, short interest, or category equivalents.",The trade requires continued forced buying after crowded positioning.,active,2.0.0,,
COM-HOR01,common,core,catalysts,market_structure,horizon_alignment,,,"Are unlocks, catalysts, and evidence currency aligned with the stated investment horizon?",NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Dated catalyst, unlock, evidence-expiry, and horizon schedule.","The thesis cannot resolve before dilution, evidence staleness, or the required exit date.",active,2.0.0,,
COM-FM02,common,core,failure_modes,security,observable_falsifiers,,,Are thesis falsifiers observable before unacceptable permanent loss?,YES,diligence,NO,All assessments unless explicitly inapplicable.,"Measurable invalidators, monitoring source, review date, and action rule.",The thesis can always be rationalized after contrary evidence.,active,2.0.0,,
COM-FM03,common,core,failure_modes,security,bear_recovery_floor,,,"Under the predeclared bear scenario, does the instrument retain at least the predeclared recovery floor?",NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"A predeclared adverse mechanism, stressed economics, recovery path, and numeric or ordinal floor.",The bear case produces permanent impairment below the recovery floor.,active,2.0.0,,COM-FM01
COM-PORT01,common,core,portfolio_fit,portfolio_fit,portfolio_role,,,Does the asset have a defined role that differs from existing exposures?,NO,,YES,All assessments unless explicitly inapplicable.,"Holdings, liabilities, factor overlap, and intended role.",The asset duplicates an existing risk without improving expected portfolio outcomes.,active,2.0.0,,
COM-PORT02,common,core,portfolio_fit,portfolio_fit,protected_capital,,,Is the proposed maximum loss compatible with protected capital and obligations?,YES,policy,NO,Personalized action assessments with protected-capital and maximum-loss policy.,"Current holdings, cash runway, reserves, liabilities, taxes, and maximum-loss policy.","Household runway, taxes, business funds, or committed obligations would bear the loss.",active,2.0.0,,
COM-SEC01,common,core,security_custody,security,unresolved_permanent_impairment,,,Has current diligence resolved every known route to material permanent impairment?,YES,integrity,NO,All assessments; may be manifest-suppressed only when a stricter assembly gate fully replaces it.,"Current review of security, fraud, solvency, title, custody, counterparty, and operational risks appropriate to the exact instrument.","An unresolved exploit, title defect, default, fraud, or custody failure could materially and permanently impair holders.",active,2.0.0,,
COM-IMPL03,common,deep,security_custody,implementation,implementation_quality,,,"Is the intended acquisition, custody, monitoring, and exit route operationally robust relative to feasible alternatives?",NO,,YES,Diligence and action assessments with an intended implementation route.,"Route-specific comparison of custody, venue, settlement, recovery, monitoring, tax-lot, and exit burden.",The route is technically possible but materially more fragile or burdensome than a feasible alternative.,active,2.0.0,,
