question_id,asset_class,tier,factor,dimension,construct_id,parent_question_id,relation_to_parent,question,default_gate,gate_stage,default_scored,applicability,evidence_standard,failure_example,status,version_added,version_retired,supersedes
CRY-SUP01,crypto,core,supply_dilution,control,supply_transparency,,,"Can circulating, total, maximum, and fully diluted supply be reconciled from primary on-chain and official sources without unexplained gaps?",NO,,YES,All assessments unless explicitly inapplicable.,On-chain mint/burn state and official schedules reconcile without unexplained gaps.,Primary sources disagree materially or leave unexplained supply.,active,2.0.0,,
CRY-SUP02,crypto,core,supply_dilution,valuation,unlock_schedule,,,Is the dated unlock and emission schedule acceptable over the investment horizon?,NO,,YES,All assessments unless explicitly inapplicable.,"Official vesting, emissions, staking rewards, treasury sales, and unlock recipients.",Material insider or ecosystem supply unlocks before the thesis matures.,active,2.0.0,,
CRY-SUP04,crypto,deep,supply_dilution,valuation,net_issuance_threshold,,,"Is annualized net issuance below the predeclared threshold after minting, emissions, burns, and treasury sales?",NO,,YES,All assessments unless explicitly inapplicable.,Dated net issuance calculation using all material supply flows.,Annualized net issuance exceeds the predeclared threshold.,active,2.0.0,,
CRY-SUP05,crypto,core,supply_dilution,market_structure,float_selling_overhang,,,Is freely tradable insider and whale supply below the predeclared selling-overhang threshold?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Holder concentration, vesting, cost basis, transferability, and market depth at a stated date.",Potential coordinated selling exceeds the predeclared share of realizable depth.,active,2.0.0,,CRY-SUP03
CRY-VAL02,crypto,deep,valuation,valuation,holder_value_comparability,,,Is the modeled holder-directed value economically comparable to the token position being valued?,NO,,YES,All assessments unless explicitly inapplicable.,"Recipient, lock requirement, dilution, source methodology, and recurrence.","ve-token fees, treasury revenue, or temporary buybacks are treated as passive spot-holder yield.",active,2.0.0,,
CRY-VAL03,crypto,deep,valuation,valuation,crypto_base_case_return,,,Does the base case offer attractive return after dilution and a category-appropriate terminal multiple?,NO,,YES,All assessments unless explicitly inapplicable.,Bull/base/bear model with net issuance and explicit terminal assumptions.,Upside assumes both exceptional growth and multiple expansion.,active,2.0.0,,
CRY-MEM01,crypto,core,memetic_strength,meme_cultural_capital,meme_adversity_resilience,COM-MEM03,strict_refinement,Has the token narrative retained its identity through adverse conditions without depending only on price appreciation or airdrop incentives?,NO,,YES,All assessments unless explicitly inapplicable.,Community behavior during price declines and after incentives normalize.,The narrative’s only proof is that price is rising.,active,2.0.0,,
CRY-MOAT01,crypto,core,competitive_moat,durability,crypto_fork_resistance,,,Can the network or protocol retain advantage despite open-source forkability?,NO,,YES,All assessments unless explicitly inapplicable.,"Liquidity, integrations, security, state, distribution, brand, developer, or regulatory moat.",A fork can reproduce users and economics with modest incentives.,active,2.0.0,,
CRY-SEC01,crypto,core,security_custody,security,crypto_security_review,,,Has the relevant code and dependency surface received credible security review?,YES,diligence,NO,All assessments unless explicitly inapplicable.,"Credible audit or extended adversarial production history, with scope, date, remediation, dependencies, and public review.",A holder-critical code or dependency surface lacks credible review.,active,2.0.0,,
CRY-SEC02,crypto,core,security_custody,control,upgrade_power_floor,,,Are contract and protocol upgrade powers acceptable?,YES,diligence,NO,All assessments unless explicitly inapplicable.,"Verified proxy/admin structure, signers, thresholds, timelocks, and upgrade history.",A small group can replace holder-critical logic without adequate delay or recourse.,active,2.0.0,,
CRY-SEC05,crypto,core,security_custody,control,freeze_power_floor,,,Are pause and freeze powers acceptable?,YES,integrity,NO,All assessments unless explicitly inapplicable.,"Verified pause/freeze scope, signers, thresholds, timelocks, and incident history.",A small group can indefinitely freeze holder assets without adequate recourse.,active,2.0.0,,
CRY-SEC06,crypto,core,security_custody,control,mint_power_floor,,,Are token minting powers acceptably constrained?,YES,integrity,NO,Tokens with mutable or governed supply; otherwise mark N/A.,"Verified mint authority, caps, governance thresholds, timelocks, and history.",An actor can create material unmodeled supply.,active,2.0.0,,
CRY-SEC03,crypto,deep,security_custody,security,crypto_incident_response,,,"Has the system responded credibly to prior exploits, outages, or defaults?",NO,,YES,All assessments unless explicitly inapplicable.,"Incident timeline, disclosure, remediation, restitution, and recurrence.","Losses are concealed, socialized unfairly, or repeated.",active,2.0.0,,
CRY-SEC04,crypto,core,security_custody,implementation,custody_route_safety,,,Is the intended custody and transaction route operationally safe for this position?,YES,implementation,NO,Action assessments with a specified custody and transaction route.,"Hardware-wallet support, recovery, venue, bridge, approval, and test-transaction plan.","The position requires an unverified bridge, unsupported wallet, or concentrated custodian.",active,2.0.0,,
CRY-SEC07,crypto,core,security_custody,control,transfer_restriction_floor,,,"Is the token free of undisclosed blacklist, transfer-tax, or transfer-restriction behavior?",YES,integrity,NO,All supported assemblies unless a bank or manifest rule states otherwise.,"Verified contract behavior, privileged methods, transfer simulations, and official disclosures.",Holder transfers can be blocked or taxed through a mechanism absent from the thesis.,active,2.0.0,,
CRY-SEC08,crypto,core,security_custody,security,security_budget,,,Is the network security budget above the predeclared attack-cost threshold relative to value secured?,NO,,YES,Native networks or systems with an economically measurable security budget.,"Current and stressed security expenditure, validator/miner economics, attack cost, and value secured.",Plausible attack cost falls below the predeclared threshold.,active,2.0.0,,
CRY-GOV01,crypto,core,governance_control,control,transaction_finality_control,,,Is transaction finality sufficiently resistant to unilateral control?,NO,,YES,All assessments unless explicitly inapplicable.,"Validator, proposer, client, and finality concentration plus failure thresholds.","One operator or coordinated minority can halt, censor, or finalize transactions.",active,2.0.0,,
CRY-GOV03,crypto,deep,governance_control,control,transaction_ordering_control,,,Is transaction ordering sufficiently resistant to unilateral extraction or censorship?,NO,,YES,Networks or rollups where ordering is relevant.,"Sequencer/proposer structure, MEV policy, censorship escape hatch, and decentralization roadmap.",One sequencer can indefinitely censor or systematically extract from users.,active,2.0.0,,
CRY-GOV02,crypto,deep,governance_control,control,protocol_governance_capture,,,"Is protocol governance resistant to capture by insiders, delegates, or borrowed voting power?",NO,,YES,All assessments unless explicitly inapplicable.,"Voting distribution, quorum, delegation, timelocks, and historical participation.",A coordinated minority can pass adverse changes before holders can exit.,active,2.0.0,,
CRY-GOV04,crypto,deep,governance_control,legal_claim,holder_entity_recourse,,,"Where an identifiable entity controls treasury, fee routing, or upgrades, do holders have a defined enforceable claim or governance right against adverse use?",NO,,YES,"Assets with an identifiable entity controlling treasury, fee routing, or upgrade rights.","Contracts, governing documents, statutes, and on-chain rights defining recourse.","A controlling entity can redirect economics and holders have no contractual, statutory, or on-chain recourse.",active,2.0.0,,
CRY-TEAM01,crypto,deep,team_execution,durability,capital_allocation_alignment,COM-TEAM02,strict_refinement,Is treasury and token issuance behavior aligned with long-term holders?,NO,,YES,All assessments unless explicitly inapplicable.,"Treasury sales, grants, market-maker terms, compensation, and related parties.",Opaque treasury transfers or insider liquidity impose recurring sell pressure.,active,2.0.0,,
CRY-REG01,crypto,core,regulatory_legal,legal_claim,lawful_crypto_access,,,Is continued lawful access to the token reasonably durable in the relevant jurisdiction?,YES,eligibility,NO,All assessments unless explicitly inapplicable.,"Current classification, sanctions, exchange/custody access, reporting, and enforcement posture.","A likely delisting, sanction, or licensing barrier defeats access or utility.",active,2.0.0,,
CRY-LIQ01,crypto,core,liquidity_market_structure,market_structure,crypto_market_depth,,,Is executable spot depth at the predeclared reference size above the predeclared market-liquidity threshold across independent venues?,NO,,YES,Direct crypto exposures with a declared reference size.,"Executable depth, spread, venue independence, settlement, and stressed volume at the reference size.",Depth or venue independence falls below the predeclared threshold.,active,2.0.0,,
CRY-LIQ03,crypto,core,liquidity_market_structure,market_structure,crypto_wash_trading,,,Is reported market activity sufficiently free of wash trading to support reliable price discovery?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Venue-quality-adjusted volume, trade-pattern analysis, and independent market surveillance.",A material share of apparent activity is self-dealing or non-economic.,active,2.0.0,,CRY-LIQ02
CRY-CAT01,crypto,deep,catalysts,market_structure,crypto_catalyst_capture,,,Does the catalyst transmit value directly to this token as well as to the protocol narrative?,NO,,YES,All assessments unless explicitly inapplicable.,"Mechanism from launch, integration, regulation, or fee change to token demand/capture.",A successful product release creates no incremental token economics.,active,2.0.0,,
CRY-POS01,crypto,deep,positioning_reflexivity,market_structure,leveraged_positioning,,,Is current leveraged positioning compatible with favorable entry?,NO,,YES,All assessments unless explicitly inapplicable.,"Funding, open interest, liquidation levels, basis, and recent acceleration with historical context.",Crowded leverage makes liquidation-driven downside dominate near-term upside.,active,2.0.0,,
CRY-FM01,crypto,core,failure_modes,security,crypto_primary_failure_survival,,,Can the thesis survive its primary category-specific failure without permanent impairment?,NO,,YES,All assessments unless explicitly inapplicable.,"Scenario for exploit, depeg, validator capture, fee collapse, fork, delisting, or unlock as applicable.","One plausible event destroys utility, access, or token value.",active,2.0.0,,
CRY-PORT01,crypto,deep,portfolio_fit,portfolio_fit,crypto_operational_burden,,,"Does the expected contribution justify custody, tax, bridge, monitoring, and smart-contract burden?",NO,,YES,Personalized assessments with a defined portfolio role.,Incremental expected return versus simpler holdings and operational workload.,The position duplicates beta while adding substantial operational tail risk.,active,2.0.0,,
