old_version,old_id,new_version,new_id,construct_id,relation,poolable,note
1.0.0,COM-G01,2.0.0,CRY-ID01,crypto_instrument_identity,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-PORT01,2.0.0,COM-PORT01,portfolio_role,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-PORT02,2.0.0,COM-PORT02,protected_capital,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-EVID01,2.0.0,,,removed,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-EVID02,2.0.0,,,removed,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-ID01,2.0.0,CRY-ID01,crypto_instrument_identity,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-ID02,2.0.0,CRY-ID03,instrument_evidence_match,semantic_change,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-U01,2.0.0,CRY-U01,crypto_architecture_advantage,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-A01,2.0.0,CRY-A01,material_adoption,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-A02,2.0.0,CRY-A03,tvl_economic_reality,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-A02,2.0.0,CRY-A04,tvl_concentration,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-ECO01,2.0.0,CRY-ECO01,economic_transparency,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-ECO02,2.0.0,CRY-ECO02,crypto_fee_recurrence,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VC01,2.0.0,CRY-VC01,active_value_capture,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VC02,2.0.0,CRY-VC02,growth_to_token,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VC03,2.0.0,CRY-VC03,unencumbered_holder_benefit,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VC04,2.0.0,CRY-VC04,capture_revocability,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SUP01,2.0.0,CRY-SUP01,supply_transparency,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SUP02,2.0.0,CRY-SUP02,unlock_schedule,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SUP03,2.0.0,CRY-SUP05,float_selling_overhang,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SUP03,2.0.0,CRY-GOV02,protocol_governance_capture,merged,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SUP04,2.0.0,CRY-SUP04,net_issuance_threshold,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VAL01,2.0.0,,,removed,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VAL02,2.0.0,CRY-VAL02,holder_value_comparability,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-VAL03,2.0.0,CRY-VAL03,crypto_base_case_return,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-MEM01,2.0.0,CRY-MEM01,meme_adversity_resilience,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-MOAT01,2.0.0,CRY-MOAT01,crypto_fork_resistance,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SEC01,2.0.0,CRY-SEC01,crypto_security_review,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SEC02,2.0.0,CRY-SEC02,upgrade_power_floor,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SEC05,2.0.0,CRY-SEC05,freeze_power_floor,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SEC06,2.0.0,CRY-SEC06,mint_power_floor,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SEC03,2.0.0,CRY-SEC03,crypto_incident_response,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-SEC04,2.0.0,CRY-SEC04,custody_route_safety,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-GOV01,2.0.0,CRY-GOV01,transaction_finality_control,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-GOV03,2.0.0,CRY-GOV03,transaction_ordering_control,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-GOV02,2.0.0,CRY-GOV02,protocol_governance_capture,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-TEAM01,2.0.0,CRY-TEAM01,capital_allocation_alignment,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-REG01,2.0.0,CRY-REG01,lawful_crypto_access,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-LIQ01,2.0.0,CRY-LIQ01,crypto_market_depth,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-LIQ02,2.0.0,CRY-LIQ03,crypto_wash_trading,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-LIQ02,2.0.0,CRY-POS01,leveraged_positioning,merged,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-CAT01,2.0.0,CRY-CAT01,crypto_catalyst_capture,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-POS01,2.0.0,CRY-POS01,leveraged_positioning,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-FM01,2.0.0,CRY-FM01,crypto_primary_failure_survival,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,CRY-PORT01,2.0.0,CRY-PORT01,crypto_operational_burden,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-ID01,2.0.0,STK-ID01,stock_instrument_identity,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-U01,2.0.0,STK-U01,durable_problem,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-A01,2.0.0,STK-A01,material_adoption,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-A02,2.0.0,STK-A02,retention,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-A03,2.0.0,STK-A03,adoption_concentration,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-ECO01,2.0.0,STK-ECO01,stock_unit_economics,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-ECO04,2.0.0,STK-ECO04,stock_gross_margin,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-ECO02,2.0.0,STK-ECO02,cash_conversion,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-ECO03,2.0.0,STK-ECO03,self_funded_reinvestment,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-VC01,2.0.0,STK-VC03,stock_residual_claim,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-VC01,2.0.0,STK-VC04,stock_claim_enforceability,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-VC02,2.0.0,STK-VC02,capital_allocation_alignment,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SUP01,2.0.0,STK-SUP01,stock_dilution,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SUP02,2.0.0,STK-SUP02,senior_claims,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SUP03,2.0.0,STK-SUP04,insider_economic_alignment,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SUP03,2.0.0,STK-GOV01,holder_control_rights,merged,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-VAL01,2.0.0,STK-VAL01,stock_normalized_valuation,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-VAL02,2.0.0,STK-VAL02,stock_margin_of_safety,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-VAL03,2.0.0,STK-VAL03,stock_embedded_expectations,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-MEM01,2.0.0,STK-MEM01,meme_economic_conversion,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-MEM02,2.0.0,STK-MEM02,stock_narrative_reality,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-MOAT01,2.0.0,STK-MOAT01,stock_roic_moat,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-MOAT02,2.0.0,STK-MOAT02,stock_moat_direction,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SEC01,2.0.0,STK-SEC01,stock_accounting_control_floor,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SEC02,2.0.0,STK-SEC04,stock_operational_continuity,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SEC02,2.0.0,STK-SEC05,stock_cyber_resilience,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-SEC03,2.0.0,STK-SEC03,stock_counterparty_resilience,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-GOV01,2.0.0,STK-GOV01,holder_control_rights,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-TEAM01,2.0.0,STK-TEAM04,stock_operating_commitments,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-TEAM01,2.0.0,STK-VC02,capital_allocation_alignment,merged,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-TEAM02,2.0.0,STK-TEAM02,management_candor,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-TEAM03,2.0.0,STK-TEAM03,executive_incentives,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-REG01,2.0.0,STK-REG01,regulatory_business_survival,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-LIQ01,2.0.0,STK-LIQ01,stock_market_depth,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-LIQ02,2.0.0,STK-LIQ02,stock_price_discovery,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-CAT01,2.0.0,STK-CAT01,stock_catalyst_value,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-POS01,2.0.0,STK-POS01,entry_positioning,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-FM01,2.0.0,STK-FM01,stock_financing_survival,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-FM02,2.0.0,STK-FM02,stock_disruption_adaptation,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,STK-PORT01,2.0.0,STK-PORT01,stock_factor_diversification,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
